name,price,status,shipping,freereturns,itemssold
Wireless Bluetooth Headphones Earphones Headset Over-Ear FM Radio MIC Foldable,1399,Brand New,,True,0
Skullcandy HESH ANC Wireless Over-Ear Headset (Certified Refurbished)-BLACK,3999,Certified - Refurbished,0,True,0
Skullcandy INDY EVO Wireless Bluetooth Earbuds  (Certified Refurbished),24992699,Certified - Refurbished,,True,0
Replacement Beats Studio Buds Totally Wireless Earphones Left Right Side or Case,39994799,Pre-Owned,0,True,113
"JBL Tune 215TWS True Wireless Earbud Headphones Pure Bass,Bluetooth - Black",2999,Brand New,,True,0
Soundcore by Anker Life P2 Mini True Wireless Earbuds Bass Bluetooth Headphones,3399,Brand New,,False,0
"Skullcandy Indy True Wireless In-Ear Earbuds - Mint ,Indigo Blue, Black, Green",1949,Certified - Refurbished,,True,0
JBL Tune 500BT Wireless Bluetooth On-Ear Headphones /w Built-In Microphone Black,3695,Brand New,,True,309
Skullcandy SESH XT EVO True Wireless Bluetooth Earbuds (Certified Refurb)-BLACK,2444,Certified - Refurbished,,True,0
Beats by Dr. Dre BeatsX Beats X Wireless Bluetooth In-Ear Headphone US,1999,Brand New,,True,0
JBL LIVE 500BT Wireless Bluetooth Over-Ear Headphones with Built-in Microphone,5999,Brand New,,False,39
Wireless Earbuds for iphone Samsung Android Bluetooth Earphone IPX7 Waterproof,1999,Brand New,,True,0
Polaroid Bluetooth Wireless Headphones | Dynamic Stereo Headset with Microphone,1999,Brand New,,False,0
